,wlr,balance,win_by_blackjack,win_by_bust,win_by_comparison,tie,lose_by_blackjack,lose_by_bust,lose_by_comparison
0,0.9,100.0,114,198,129,69,110,179,201
1,0.879837067209776,97.5,102,218,112,77,106,171,214
2,1.0394736842105263,228.5,99,248,127,70,85,164,207
3,0.9201680672268907,149.5,114,218,106,86,72,195,209
4,1.0394736842105263,275.5,113,231,130,70,85,156,215
5,0.8591549295774648,35.5,108,200,119,76,90,184,223
6,0.9702127659574468,156.5,105,224,127,74,83,182,205
7,0.920997920997921,91.5,114,239,90,76,89,164,228
8,0.9282700421940928,164.5,112,218,110,86,77,185,212
9,0.846307385229541,15.5,103,214,107,75,90,184,227
10,0.9213250517598344,83.0,105,216,124,72,83,170,230
11,1.0,286.0,117,214,127,84,70,157,231
12,0.8961303462321792,70.0,103,215,122,69,94,185,212
13,0.9473684210526315,146.5,122,206,122,75,72,178,225
14,1.0218340611353711,211.5,110,222,136,74,80,155,223
15,1.0198237885462555,293.0,124,217,122,83,91,165,198
16,0.8724696356275303,80.0,95,214,122,75,83,178,233
17,1.0262008733624455,248.5,113,218,139,72,70,172,216
18,0.8612244897959184,-0.5,108,192,122,88,91,175,224
19,0.9344608879492601,117.0,107,218,117,85,103,164,206
20,1.0654627539503385,364.5,124,229,119,85,80,152,211
21,0.9175257731958762,45.0,98,217,130,70,88,176,221
22,0.9892703862660944,237.5,121,217,123,73,75,185,206
23,0.843687374749499,47.0,105,199,117,80,98,181,220
24,0.8995901639344263,48.5,99,211,129,73,99,161,228
25,0.939203354297694,70.5,112,224,112,75,88,166,223
26,0.9030927835051547,22.0,102,215,121,77,92,153,240
27,0.869215291750503,5.5,106,195,131,71,85,155,257
28,0.8373493975903614,-5.0,97,208,112,85,101,166,231
29,0.9402061855670103,164.5,107,220,129,59,69,186,230
30,0.9365750528541226,205.0,114,217,112,84,79,160,234
31,0.9493670886075949,136.0,110,237,103,76,93,165,216
32,0.951271186440678,239.5,114,218,117,79,83,170,219
33,0.9764453961456103,146.0,107,225,124,77,82,148,237
34,0.9424307036247335,186.5,112,229,101,89,96,153,220
35,0.9655172413793104,151.5,101,223,124,88,74,170,220
36,0.9347368421052632,192.5,118,215,111,81,84,174,217
37,0.899581589958159,98.0,94,209,127,92,94,161,223
38,0.9216101694915254,161.5,113,222,100,93,96,157,219
39,0.8582995951417004,96.0,99,201,124,82,91,170,233
40,0.9347368421052632,156.0,110,223,111,81,85,171,219
41,0.9641350210970464,220.5,112,212,133,69,87,180,207
42,0.9010309278350516,107.0,114,205,118,78,97,177,211
43,0.9741379310344828,208.0,109,208,135,84,84,150,230
44,0.8694779116465864,83.0,113,193,127,69,92,163,243
45,0.911522633744856,97.5,107,211,125,71,97,156,233
