,wlr,balance,win_by_blackjack,win_by_bust,win_by_comparison,tie,lose_by_blackjack,lose_by_bust,lose_by_comparison
0,0.9787685774946921,175.5,118,239,104,68,90,156,225
1,0.9273858921161826,41.5,107,211,129,71,93,169,220
2,0.8940936863543788,105.5,104,217,118,70,89,197,205
3,1.0,128.0,101,238,126,70,91,149,225
4,1.024229074889868,162.0,107,229,129,81,85,152,217
5,1.0150537634408603,233.5,111,242,119,63,72,160,233
6,0.9620253164556962,98.5,105,230,121,70,101,154,219
7,0.9913232104121475,151.5,93,233,131,82,98,178,185
8,1.0087336244541485,245.0,103,223,136,80,85,162,211
9,0.9333333333333333,107.5,111,235,102,72,95,171,214
10,0.9554140127388535,169.0,114,222,114,79,82,170,219
11,0.9869565217391304,119.5,100,233,121,86,93,167,200
12,0.9514767932489452,177.5,111,224,116,75,98,167,209
13,0.8742393509127789,45.0,112,194,125,76,96,177,220
14,0.9475890985324947,44.0,110,231,111,71,84,172,221
15,0.9495798319327731,144.0,106,215,131,72,79,183,214
16,0.967948717948718,156.0,116,222,115,79,82,179,207
17,0.911340206185567,111.0,97,222,123,73,104,169,212
18,0.9893390191897654,115.5,99,221,144,67,77,177,215
19,0.868421052631579,36.5,109,203,117,77,93,165,236
20,0.9458333333333333,134.5,111,231,112,66,85,153,242
21,0.9028925619834711,85.0,93,224,120,79,86,166,232
22,0.891170431211499,32.0,79,221,134,79,95,172,220
23,0.9416666666666667,40.0,91,241,120,68,92,165,223
24,0.9869848156182213,132.0,111,211,133,84,83,194,184
25,0.9742489270386266,135.5,127,203,124,80,79,160,227
26,0.8685831622176592,55.0,105,210,108,90,74,182,231
27,1.08843537414966,154.5,108,220,152,79,80,132,229
28,1.0218340611353711,182.5,110,246,112,74,80,164,214
29,1.013157894736842,137.0,113,228,121,82,88,165,203
30,0.9978213507625272,190.5,115,217,126,83,81,142,236
31,0.9516806722689075,119.5,114,229,110,71,86,165,225
32,0.9311064718162839,31.5,111,225,110,75,98,168,213
33,0.7980582524271844,-28.5,101,218,92,74,93,189,233
34,0.9617834394904459,147.0,117,223,113,76,91,168,212
35,1.0401785714285714,227.0,116,215,135,86,87,165,196
36,0.9535864978902954,215.5,110,222,120,74,91,174,209
37,0.9532908704883227,105.0,90,229,130,80,71,165,235
38,0.9222903885480572,191.5,128,207,116,60,87,160,242
39,0.9251559251559252,54.0,111,206,128,74,97,150,234
40,0.8326771653543307,26.5,95,215,113,69,88,173,247
41,1.0043668122270741,199.5,120,224,116,82,75,174,209
42,0.8719512195121951,105.0,91,220,118,79,87,187,218
43,0.9194214876033058,108.0,103,217,125,71,88,171,225
44,0.9654427645788337,107.0,113,213,121,90,73,184,206
45,0.9273858921161826,113.0,93,235,119,71,90,160,232
46,0.9680851063829787,154.5,127,212,116,75,89,166,215
47,0.8916666666666667,66.0,99,206,123,92,85,161,234
48,1.0513392857142858,202.0,128,237,106,81,88,156,204
49,0.889344262295082,102.0,106,221,107,78,101,158,229
50,0.8811475409836066,58.5,109,216,105,82,84,168,236
51,0.9870410367170627,174.0,111,217,129,80,91,170,202
52,0.8778004073319755,157.0,105,218,108,78,95,161,235
53,0.8770491803278688,90.5,87,206,135,84,102,170,216
54,1.0398230088495575,168.0,111,229,130,78,88,143,221
55,0.8711656441717791,91.5,100,204,122,85,117,145,227
56,0.9216494845360824,113.0,111,230,106,68,78,173,234
57,0.9133192389006343,58.5,104,204,124,95,89,160,224
58,0.9849785407725322,177.0,133,212,114,75,82,158,226
59,0.9828326180257511,133.0,105,212,141,76,99,158,209
60,0.9400826446280992,129.0,116,215,124,61,74,180,230
61,0.9194915254237288,95.0,101,216,117,94,86,155,231
62,0.8476953907815631,16.0,101,212,110,78,90,172,237
63,0.9635974304068522,135.5,94,238,118,83,86,175,206
64,0.8711656441717791,47.0,101,215,110,85,83,174,232
65,0.8154761904761905,66.0,106,190,115,85,87,165,252
66,0.9472573839662447,77.5,113,210,126,77,92,168,214
67,0.8277227722772277,36.0,99,207,112,77,105,183,217
68,0.9397089397089398,138.5,114,206,132,67,89,159,233
69,0.9469214437367304,198.5,107,217,122,83,88,176,207
70,0.9893390191897654,203.0,93,236,135,67,97,161,211
71,0.9555084745762712,159.0,101,234,116,77,90,136,246
72,0.8110236220472441,-12.5,95,216,101,80,90,180,238
73,0.9472573839662447,144.5,125,202,122,77,81,178,215
74,0.9347368421052632,124.5,108,218,118,81,83,165,227
75,0.80859375,17.0,88,219,107,74,95,170,247
76,1.008888888888889,160.0,108,234,112,96,77,165,208
77,0.9100204498977505,116.0,105,221,119,66,90,183,216
78,1.0153508771929824,221.0,113,222,128,81,87,149,220
79,0.9051546391752577,93.0,104,207,128,76,96,162,227
80,1.0460526315789473,109.0,103,243,131,67,73,162,221
81,0.967741935483871,111.0,116,236,98,85,91,175,199
82,0.8505050505050505,80.5,104,197,120,84,81,205,209
83,0.9417879417879418,191.0,114,241,98,66,85,172,224
84,0.8449304174950298,-20.5,98,203,124,72,69,192,242
85,1.0065217391304349,136.5,97,225,141,77,92,163,205
86,0.989247311827957,114.5,99,224,137,75,91,171,203
87,0.844311377245509,40.5,118,197,108,76,90,169,242
88,0.9200819672131147,117.0,104,233,112,63,80,181,227
89,0.8898128898128899,116.5,103,217,108,91,80,180,221
90,0.9047619047619048,62.5,100,216,121,80,83,194,206
91,0.9466950959488273,121.5,102,206,136,87,77,163,229
92,0.8934426229508197,30.0,106,222,108,76,90,179,219
93,0.9934924078091106,118.5,106,222,130,81,84,162,215
94,0.9409282700421941,146.5,104,228,114,80,79,149,246
95,0.9117043121149897,33.5,104,209,131,69,90,186,211
96,0.8747474747474747,40.5,103,206,124,72,98,154,243
97,0.75,-30.5,96,195,102,83,86,184,254
98,1.098623853211009,248.0,107,239,133,85,81,141,214
99,0.9411764705882353,117.0,118,205,125,76,106,184,186
100,0.9039665970772442,154.5,105,210,118,88,89,180,210
101,1.0569476082004556,194.0,112,234,118,97,86,127,226
102,0.9570815450643777,69.0,124,204,118,88,96,148,222
103,0.8264299802761341,-6.5,101,202,116,74,89,176,242
104,0.9311064718162839,99.5,111,213,122,75,88,169,222
105,0.9297872340425531,132.0,103,217,117,93,94,170,206
106,0.9578059071729957,95.5,103,228,123,72,93,172,209
107,0.9850107066381156,190.5,108,230,122,73,76,171,220
108,0.9423076923076923,98.5,108,213,120,91,88,171,209
109,0.9806451612903225,241.5,113,220,123,79,77,168,220
110,0.9761388286334056,139.0,105,218,127,89,70,166,225
111,0.9661016949152542,116.0,99,205,152,72,79,184,209
112,0.8719512195121951,58.5,100,216,113,79,83,182,227
113,1.0216450216450217,138.5,117,221,134,66,78,161,223
114,0.9168399168399168,106.5,115,214,112,78,81,176,224
115,0.8934426229508197,64.5,114,216,106,76,81,191,216
116,0.9190871369294605,118.5,122,202,119,75,86,179,217
117,0.9109730848861284,106.5,120,188,132,77,89,160,234
118,0.925,96.5,115,213,116,76,87,172,221
119,0.8893528183716075,185.5,118,195,113,95,82,180,217
120,0.889344262295082,105.0,108,217,109,78,89,160,239
121,0.9128630705394191,-11.0,87,242,111,78,76,163,243
122,0.9639065817409767,156.0,108,222,124,75,79,173,219
123,0.9745222929936306,155.0,108,238,113,70,92,168,211
124,0.9221052631578948,182.0,113,227,98,87,82,166,227
125,0.9163179916317992,91.5,100,201,137,84,89,159,230
126,0.9934782608695653,116.0,103,229,125,83,83,147,230
127,0.9081632653061225,136.5,114,221,110,65,76,164,250
128,1.026143790849673,256.0,123,223,125,70,98,154,207
129,0.9254658385093167,134.0,105,221,121,70,96,180,207
130,0.9205020920502092,141.5,108,227,105,82,86,190,202
131,0.8094302554027505,-46.5,101,202,109,79,96,173,240
132,1.0043478260869565,149.0,122,221,119,78,88,146,226
133,0.9079497907949791,83.5,94,239,101,88,80,165,233
134,0.8850806451612904,64.5,105,214,120,65,100,187,209
135,0.9368421052631579,123.5,121,220,104,80,81,177,217
136,0.9594017094017094,132.0,102,218,129,83,88,164,216
137,0.9404255319148936,89.0,106,205,131,88,86,189,195
138,0.98068669527897,193.0,109,218,130,77,81,163,222
139,0.9208333333333333,68.5,97,227,118,78,93,179,208
140,0.9161554192229039,38.0,98,225,125,63,84,165,240
141,0.9425531914893617,142.0,100,212,131,87,84,177,209
142,0.9870410367170627,100.0,111,226,120,80,86,162,215
143,1.0284463894967177,246.0,130,234,106,73,75,172,210
144,0.8333333333333334,74.0,107,207,111,65,78,165,267
145,0.8588957055214724,39.5,118,213,89,91,92,155,242
146,0.8577154308617234,53.5,116,208,104,73,95,184,220
147,0.92,127.0,111,213,113,88,97,166,212
148,0.8453815261044176,47.0,110,188,123,81,88,175,235
149,0.9288702928870293,106.0,115,211,118,78,86,189,203
150,0.930672268907563,25.5,104,224,115,81,92,154,230
151,0.8603238866396761,92.5,98,212,115,81,91,162,241
152,0.934322033898305,157.5,106,226,109,87,84,182,206
153,0.9371069182389937,73.5,109,228,110,76,98,169,210
154,0.9871244635193133,161.0,104,226,130,74,77,156,233
155,0.9554140127388535,138.5,109,229,112,79,96,181,194
156,0.9227557411273486,61.5,100,218,124,79,96,171,212
157,0.9978401727861771,176.5,115,222,125,75,65,176,222
158,0.92,70.0,109,210,118,88,80,173,222
159,0.9935622317596566,155.0,107,221,135,71,92,172,202
160,0.9351464435146444,73.5,116,218,113,75,78,190,210
161,0.875,33.0,113,217,97,85,86,168,234
162,0.9722222222222222,119.0,99,239,117,77,77,164,227
163,0.8606060606060606,1.0,105,215,106,79,103,171,221
164,0.9032921810699589,129.0,104,212,123,75,77,175,234
165,0.9807280513918629,96.0,106,224,128,75,80,153,234
166,1.0865603644646924,258.5,113,220,144,84,72,150,217
167,0.8902439024390244,67.5,108,205,125,70,82,161,249
168,1.0695067264573992,236.0,111,244,122,77,79,173,194
169,0.911522633744856,88.0,92,225,126,71,94,169,223
170,0.9089026915113871,106.5,111,228,100,78,79,169,235
171,1.0375275938189845,256.0,113,236,121,77,79,153,221
172,0.9132231404958677,54.0,104,226,112,74,94,177,213
173,0.9006211180124224,64.5,100,209,126,82,78,181,224
174,1.0262008733624455,202.5,123,224,123,72,70,159,229
175,0.940552016985138,92.0,96,223,124,86,85,176,210
176,0.971677559912854,114.0,110,225,111,95,94,166,199
177,0.897119341563786,106.5,128,192,116,78,84,180,222
178,0.8811475409836066,43.0,103,207,120,82,72,154,262
179,0.9827586206896551,157.5,114,238,104,80,84,178,202
180,0.9645833333333333,95.5,111,232,120,57,71,176,233
181,0.9891774891774892,205.0,119,228,110,81,93,150,219
182,0.974304068522484,146.0,118,211,126,78,78,174,215
183,0.902834008097166,93.5,96,237,113,60,90,175,229
184,0.9957081545064378,162.5,119,218,127,70,85,157,224
185,0.8734939759036144,80.0,115,203,117,67,99,179,220
186,0.9594017094017094,122.5,108,225,116,83,82,148,238
187,1.0152173913043478,168.5,108,220,139,73,84,162,214
188,0.9106029106029107,116.0,116,228,94,81,77,188,216
