,wlr,balance,win_by_blackjack,win_by_bust,win_by_comparison,tie,lose_by_blackjack,lose_by_bust,lose_by_comparison
0,0.8701030927835052,-8.5,109,192,121,93,84,210,191
1,0.899581589958159,10.5,117,195,118,92,78,190,210
2,0.9868421052631579,45.0,102,212,136,94,72,185,199
3,0.8997912317327766,6.5,109,191,131,90,66,207,206
4,1.085972850678733,102.5,129,223,128,78,72,193,177
5,0.8707070707070707,-20.0,88,191,152,74,78,189,228
6,0.8516260162601627,-25.0,96,191,132,89,88,193,211
7,0.8083832335329342,-43.0,106,183,116,94,101,205,195
8,0.8921161825726142,2.0,108,197,125,88,89,204,189
9,0.8816326530612245,-4.0,108,188,136,78,86,190,214
10,0.8035019455252919,-47.0,108,197,108,73,84,211,219
11,0.7988165680473372,-54.5,95,198,112,88,92,205,210
12,0.7924901185770751,-46.5,117,176,108,93,87,212,207
13,0.889344262295082,0.0,108,194,132,78,80,199,209
14,0.9635974304068522,45.0,124,200,126,83,74,191,202
15,0.843687374749499,-22.0,112,179,130,80,83,213,203
16,0.8734693877551021,-9.5,105,201,122,82,88,206,196
17,0.8477366255144033,-24.5,99,194,119,102,71,194,221
18,0.8737270875763747,0.0,124,177,128,80,86,209,196
19,0.8277227722772277,-32.5,109,201,108,77,86,210,209
20,0.9432773109243697,27.5,109,202,138,75,80,189,207
21,0.8643724696356275,-7.5,119,189,119,79,87,198,209
22,0.865979381443299,-11.5,107,187,126,95,84,208,193
23,0.9294871794871795,30.5,127,199,109,97,87,166,215
24,0.8611670020120724,-10.0,118,201,109,75,77,209,211
25,0.8467741935483871,-21.0,110,189,121,84,88,217,191
26,0.9314775160599572,25.5,115,204,116,98,79,176,212
27,0.8852459016393442,4.0,120,191,121,80,74,199,215
28,0.9150743099787686,13.0,106,189,136,98,80,182,209
29,0.913135593220339,10.0,102,194,135,97,86,192,194
30,0.8392156862745098,-19.0,126,186,116,62,95,207,208
31,0.8641975308641975,-13.5,105,189,126,94,85,209,192
32,0.8486707566462167,-19.5,109,189,117,96,79,216,194
33,0.80990099009901,-46.0,100,184,125,86,80,217,208
34,0.8390342052313883,-27.0,106,188,123,86,81,202,214
35,0.8602794411177644,-16.0,108,200,123,68,86,190,225
36,0.8925619834710744,9.0,122,181,129,84,79,210,195
37,0.8493975903614458,-14.0,122,187,114,79,97,217,184
38,0.806640625,-41.5,115,178,120,75,93,208,211
39,0.9555084745762712,36.0,114,188,149,77,76,190,206
40,0.7846153846153846,-56.0,112,170,126,72,77,215,228
41,0.82421875,-34.5,111,189,122,66,93,221,198
42,0.8597560975609756,-15.5,107,193,123,85,93,186,213
43,0.7868217054263565,-63.5,93,198,115,78,92,207,217
