,wlr,balance,win_by_blackjack,win_by_bust,win_by_comparison,tie,lose_by_blackjack,lose_by_bust,lose_by_comparison
0,0.8554216867469879,-21.5,102,205,119,76,96,201,201
1,0.8284023668639053,-30.0,108,200,112,73,93,198,216
2,0.8205128205128205,-59.5,121,165,130,77,90,199,218
3,0.783625730994152,-78.5,104,189,109,85,99,211,203
4,0.9470338983050848,108.5,138,200,109,81,80,208,184
5,0.8510204081632653,6.5,102,191,124,93,98,191,201
6,0.9081419624217119,23.0,105,205,125,86,87,197,195
7,0.8256513026052105,-69.5,108,189,115,89,83,217,199
8,0.8376753507014028,-44.0,95,212,111,83,92,192,215
9,0.93125,103.5,128,194,125,73,78,208,194
10,0.9240246406570842,76.0,109,207,134,63,83,201,203
11,0.8861283643892339,30.5,123,181,124,89,73,198,212
12,0.8389662027833003,-72.5,103,200,119,75,87,215,201
13,0.8927835051546392,-4.0,100,201,132,82,82,187,216
14,0.9297520661157025,16.0,122,187,141,66,68,194,222
15,0.8840579710144928,-4.5,124,186,117,90,108,200,175
16,0.9269311064718163,44.0,107,209,128,77,78,196,205
17,0.7743785850860421,-177.5,94,183,128,72,102,225,196
18,0.8350100603621731,-77.0,114,184,117,88,71,207,219
19,0.7658349328214972,-165.5,104,184,111,80,71,202,248
20,0.856,4.0,112,183,133,72,90,195,215
21,0.9083333333333333,-42.0,104,193,139,84,69,214,197
22,0.9235537190082644,91.0,118,195,134,69,84,190,210
23,0.9511677282377919,50.0,112,190,146,81,94,188,189
24,0.8514851485148515,-7.0,113,191,126,65,79,210,216
25,0.9449152542372882,76.5,114,206,126,82,76,195,201
26,0.8808080808080808,34.0,131,186,119,69,68,230,197
27,0.8739837398373984,32.5,101,206,123,78,82,195,215
28,0.8269617706237424,-42.0,117,171,123,92,78,213,206
29,0.8719512195121951,-8.5,126,178,125,79,90,209,193
30,0.769825918762089,-158.0,99,186,113,85,77,232,208
31,0.9785407725321889,72.0,125,198,133,78,100,184,182
32,0.8983739837398373,22.0,98,212,132,66,87,203,202
33,0.8444444444444444,-12.5,107,199,112,87,82,199,214
34,0.8353413654618473,-54.0,125,181,110,86,78,194,226
35,0.8863636363636364,1.5,108,197,124,87,95,193,196
36,0.803960396039604,-113.0,104,192,110,89,89,214,202
37,0.8997955010224948,38.5,123,190,127,71,78,209,202
38,0.8557114228456913,-26.0,110,206,111,74,92,202,205
39,0.8502994011976048,-21.5,104,196,126,73,95,202,204
40,0.8481781376518218,-51.5,107,186,126,87,96,202,196
41,1.002145922746781,141.0,112,221,134,67,82,208,176
42,0.8829568788501027,-5.0,113,191,126,83,85,217,185
43,0.8346613545816733,-112.0,99,193,127,79,91,198,213
44,0.8306772908366534,-97.0,91,195,131,81,80,210,212
45,0.8699186991869918,52.5,121,178,129,80,92,208,192
46,0.8428290766208252,-11.0,128,180,121,62,86,196,227
47,0.9057377049180327,41.5,116,195,131,70,90,187,211
48,0.8475609756097561,10.0,113,167,137,91,81,211,200
49,0.8571428571428571,-49.5,110,193,117,90,90,180,220
50,0.906832298136646,48.0,114,197,127,79,75,216,192
51,0.805940594059406,-177.0,89,190,128,88,94,224,187
52,0.849802371541502,-38.5,118,191,121,64,87,230,189
53,0.8157894736842105,-93.0,92,182,129,103,80,214,200
54,0.854251012145749,-58.0,108,190,124,84,90,215,189
55,0.9408033826638478,110.0,108,228,109,82,95,182,196
56,0.9763948497854077,60.0,116,224,115,79,83,189,194
57,0.7773512476007678,-53.5,124,158,123,74,85,224,212
58,0.9682203389830508,145.5,120,215,122,71,107,195,170
59,0.9109730848861284,-7.5,130,191,119,77,84,185,214
60,0.8376753507014028,-55.0,96,199,123,83,96,212,191
61,0.8618556701030928,2.5,126,164,128,97,71,188,226
62,0.8226120857699805,-19.5,134,187,101,65,77,211,225
63,0.9469214437367304,52.5,114,191,141,83,66,188,217
64,1.0839002267573696,226.5,122,207,149,81,83,177,181
65,0.8234126984126984,-34.5,114,187,114,81,79,204,221
66,0.909853249475891,-10.0,114,194,126,89,81,194,202
67,0.8773388773388774,-44.0,111,189,122,97,84,179,218
68,0.9147609147609148,11.5,116,193,131,79,78,190,213
69,0.8070866141732284,-37.5,125,162,123,82,86,212,210
70,0.8092369477911646,-72.0,104,189,110,99,92,217,189
71,0.7924901185770751,-101.5,99,181,121,93,82,212,212
72,0.9288702928870293,103.5,123,199,122,78,69,210,199
73,0.8313725490196079,-100.5,111,202,111,66,86,207,217
74,0.9299363057324841,13.0,122,201,115,91,77,193,201
75,0.7934362934362934,-99.5,103,197,111,71,72,232,214
76,0.897119341563786,49.0,109,197,130,78,89,193,204
77,0.9446808510638298,70.0,117,196,131,86,66,201,203
78,0.8688524590163934,-56.5,102,195,127,88,71,193,224
79,0.8836734693877552,37.5,115,189,129,77,79,211,200
80,0.9474789915966386,82.0,119,205,127,73,78,183,215
81,0.982646420824295,64.0,113,205,135,86,85,188,188
82,0.9385593220338984,67.5,120,209,114,85,77,199,196
83,0.857429718875502,-46.0,116,194,117,75,81,215,202
84,0.9785407725321889,77.0,115,225,116,78,78,184,204
85,0.8263473053892215,-108.5,102,181,131,85,88,200,213
86,0.9128630705394191,42.5,119,193,128,78,80,196,206
87,0.9385593220338984,66.5,126,202,115,85,76,185,211
88,0.8757763975155279,-17.0,112,169,142,94,90,215,178
89,0.8223552894211577,-20.0,97,184,131,87,97,195,209
90,0.8469387755102041,5.5,101,187,127,95,89,194,207
91,0.9698924731182795,49.5,102,208,141,84,81,192,192
92,0.9660297239915074,154.0,122,191,142,74,83,187,201
93,0.7880539499036608,-183.5,105,178,126,72,93,222,204
94,0.9026915113871635,-15.0,96,207,133,81,84,196,203
95,0.9079497907949791,31.0,119,191,124,88,82,200,196
96,0.8662674650698603,-65.0,112,192,130,65,82,201,218
97,0.7729007633587787,-119.5,103,173,129,71,79,214,231
98,0.8548387096774194,-64.5,110,189,125,80,87,216,193
99,0.8645418326693227,12.5,123,186,125,64,79,194,229
100,0.8739837398373984,7.0,123,180,127,78,91,196,205
101,0.893305439330544,-30.0,114,190,123,95,65,201,212
102,0.8884297520661157,11.0,105,196,129,86,86,212,186
103,0.9175475687103594,29.5,113,190,131,93,71,199,203
104,0.9578059071729957,38.5,112,214,128,72,80,217,177
105,0.8522954091816367,-16.0,96,198,133,72,76,212,213
106,0.7558139534883721,-193.0,93,192,105,94,87,224,205
107,0.875,-54.5,106,213,115,70,89,187,220
108,0.9221052631578948,44.5,129,198,111,87,72,177,226
109,0.9297872340425531,22.5,110,209,118,93,69,209,192
110,0.9722814498933902,75.0,124,205,127,75,88,181,200
111,0.8806584362139918,41.0,125,171,132,86,83,198,205
112,0.8744939271255061,70.5,129,197,106,74,88,213,193
113,0.869120654396728,56.5,117,193,115,86,70,198,221
114,0.8913934426229508,33.5,111,209,115,77,79,203,206
115,0.8275862068965517,-30.5,110,187,111,99,79,200,214
116,0.7495256166982922,-144.0,101,189,105,78,98,224,205
117,0.8810483870967742,23.0,108,206,123,67,70,216,210
118,0.854251012145749,-45.0,108,184,130,84,79,219,196
119,0.8969072164948454,-56.0,95,193,147,80,81,207,197
120,0.8646464646464647,-45.0,101,193,134,77,93,201,201
121,0.90625,69.5,110,198,127,85,89,197,194
122,0.9175475687103594,67.0,118,194,122,93,71,200,202
123,0.8373493975903614,-44.0,111,181,125,85,74,211,213
124,0.7840466926070039,-62.0,126,182,95,83,71,208,235
125,0.9266247379454927,25.0,114,197,131,81,88,196,193
126,0.8864097363083164,6.0,101,204,132,70,83,199,211
127,0.8629856850715747,-7.0,121,189,112,89,89,186,214
128,0.83399209486166,-38.5,102,183,137,72,78,221,207
129,0.7620889748549323,-112.5,99,202,93,89,87,210,220
130,0.8266932270916335,-18.0,107,184,124,83,94,205,203
131,0.832,-70.0,110,195,111,84,90,220,190
132,0.9053497942386831,-14.0,115,196,129,74,83,200,203
133,0.8650306748466258,12.5,106,190,127,88,74,188,227
134,0.818359375,-114.5,97,208,114,69,98,198,216
135,0.8987603305785123,31.5,113,204,118,81,81,208,195
136,0.8609406952965235,-8.5,107,202,112,90,82,206,201
137,0.9194214876033058,28.0,108,203,134,71,86,183,215
138,0.8534653465346534,-10.5,114,184,133,64,83,211,211
139,0.9806451612903225,194.0,116,212,128,79,73,181,211
140,0.911578947368421,79.5,124,207,102,92,86,188,201
