,wlr,balance,win_by_blackjack,win_by_bust,win_by_comparison,tie,lose_by_blackjack,lose_by_bust,lose_by_comparison
0,0.8237623762376237,-69.5,114,179,123,79,92,224,189
1,0.9493670886075949,97.0,113,203,134,76,61,217,196
2,0.7940594059405941,-42.0,100,171,130,94,89,210,206
3,0.8406374501992032,-19.5,117,172,133,76,79,223,200
4,0.7760314341846758,-78.5,103,154,138,96,81,214,214
5,0.7615384615384615,-85.5,99,195,102,84,95,238,187
6,0.9182389937106918,10.5,93,207,138,85,81,212,184
7,0.8228346456692913,-17.5,94,199,125,74,86,190,232
8,0.8433734939759037,-50.5,109,194,117,82,84,205,209
9,0.8448979591836735,-32.5,99,185,130,96,75,207,208
10,0.8284023668639053,17.0,123,176,121,73,78,228,201
11,0.8557114228456913,8.0,110,205,112,74,93,223,183
12,0.816,-50.5,103,202,103,92,83,214,203
13,0.7792706333973128,-65.0,118,167,121,73,91,215,215
14,0.8297029702970297,2.5,110,200,109,76,81,212,212
15,0.8450704225352113,-37.5,117,181,122,83,92,204,201
16,0.8623481781376519,18.0,105,179,142,80,83,214,197
17,0.7284644194756554,-104.5,87,171,131,77,80,222,232
18,0.9410526315789474,89.5,109,213,125,78,70,208,197
19,0.8985507246376812,9.5,125,195,114,83,94,191,198
20,0.9507494646680942,50.5,87,223,134,89,88,194,185
21,0.9315352697095436,85.0,120,193,136,69,77,198,207
22,0.8831967213114754,33.5,117,186,128,81,84,223,181
23,0.9655172413793104,118.5,131,198,119,88,98,191,175
24,0.9129511677282378,27.5,106,194,130,99,80,193,198
25,0.9702127659574468,45.0,119,217,120,74,79,181,210
26,0.7980392156862746,-37.0,88,184,135,83,72,221,217
27,0.8284023668639053,-53.0,116,201,103,73,80,224,203
28,0.8842975206611571,-20.5,108,193,127,88,82,210,192
29,0.8859470468431772,-5.5,121,199,115,74,82,194,215
30,0.8269617706237424,-30.0,129,176,106,92,73,202,222
31,0.9132231404958677,81.5,105,207,130,74,79,210,195
32,0.9488272921108742,95.0,121,182,142,86,73,207,189
33,0.8247011952191236,-13.5,105,181,128,84,90,222,190
34,0.8845360824742268,-18.0,131,177,121,86,86,207,192
35,0.8591549295774648,27.0,117,189,121,76,90,214,193
36,0.8487903225806451,-17.0,108,184,129,83,103,187,206
37,0.9763440860215054,94.5,113,213,128,81,74,181,210
38,0.8404040404040404,25.0,130,180,106,89,76,220,199
39,0.9139344262295082,47.5,108,210,128,66,74,200,214
40,0.8877551020408163,-21.5,112,180,143,75,88,192,210
41,0.8641975308641975,-47.0,115,187,118,94,90,186,210
42,0.9276595744680851,76.5,123,178,135,94,71,197,202
43,0.8612244897959184,-6.5,124,181,117,88,87,200,203
44,0.8464646464646465,-14.5,98,205,116,86,74,202,219
45,0.9783549783549783,132.5,122,195,135,86,76,195,191
46,0.8542914171656687,-18.0,114,193,121,71,80,204,217
47,0.9580712788259959,102.5,119,198,140,66,91,206,180
48,0.8814968814968815,9.0,103,188,133,95,88,201,192
49,0.8577154308617234,77.0,132,181,115,73,79,197,223
50,0.8952772073921971,-7.0,95,205,136,77,86,173,228
51,0.9152892561983471,17.0,104,210,129,73,92,206,186
